month,country_group,gender,n
2015-01-01,El Salvador,F,18
2015-01-01,El Salvador,M,36
2015-01-01,Guatemala,F,59
2015-01-01,Guatemala,M,141
2015-01-01,Honduras,F,16
2015-01-01,Honduras,M,30
2015-01-01,Mexico,F,6
2015-01-01,Mexico,M,12
2015-01-01,Other,F,7
2015-01-01,Other,M,9
2015-02-01,El Salvador,F,93
2015-02-01,El Salvador,M,161
2015-02-01,Guatemala,F,142
2015-02-01,Guatemala,M,490
2015-02-01,Honduras,F,68
2015-02-01,Honduras,M,93
2015-02-01,Mexico,F,24
2015-02-01,Mexico,M,29
2015-02-01,Other,F,17
2015-02-01,Other,M,32
2015-03-01,El Salvador,F,169
2015-03-01,El Salvador,M,326
2015-03-01,Guatemala,F,212
2015-03-01,Guatemala,M,685
2015-03-01,Honduras,F,110
2015-03-01,Honduras,M,152
2015-03-01,Mexico,F,36
2015-03-01,Mexico,M,37
2015-03-01,Other,F,13
2015-03-01,Other,M,44
2015-04-01,El Salvador,F,212
2015-04-01,El Salvador,M,368
2015-04-01,Guatemala,F,238
2015-04-01,Guatemala,M,739
2015-04-01,Honduras,F,135
2015-04-01,Honduras,M,227
2015-04-01,Mexico,F,29
2015-04-01,Mexico,M,44
2015-04-01,Other,F,11
2015-04-01,Other,M,23
2015-05-01,El Salvador,F,277
2015-05-01,El Salvador,M,484
2015-05-01,Guatemala,F,310
2015-05-01,Guatemala,M,928
2015-05-01,Honduras,F,174
2015-05-01,Honduras,M,283
2015-05-01,Mexico,F,32
2015-05-01,Mexico,M,40
2015-05-01,Other,F,14
2015-05-01,Other,M,32
2015-06-01,El Salvador,F,297
2015-06-01,El Salvador,M,545
2015-06-01,Guatemala,F,354
2015-06-01,Guatemala,M,881
2015-06-01,Honduras,F,158
2015-06-01,Honduras,M,297
2015-06-01,Mexico,F,31
2015-06-01,Mexico,M,46
2015-06-01,Other,F,11
2015-06-01,Other,M,40
2015-07-01,El Salvador,F,368
2015-07-01,El Salvador,M,618
2015-07-01,Guatemala,F,361
2015-07-01,Guatemala,M,938
2015-07-01,Honduras,F,207
2015-07-01,Honduras,M,375
2015-07-01,Mexico,F,30
2015-07-01,Mexico,M,60
2015-07-01,Other,F,15
2015-07-01,Other,M,33
2015-08-01,El Salvador,F,406
2015-08-01,El Salvador,M,642
2015-08-01,Guatemala,F,380
2015-08-01,Guatemala,M,1054
2015-08-01,Honduras,F,266
2015-08-01,Honduras,M,369
2015-08-01,Mexico,F,43
2015-08-01,Mexico,M,53
2015-08-01,Other,F,16
2015-08-01,Other,M,43
2015-09-01,El Salvador,F,555
2015-09-01,El Salvador,M,875
2015-09-01,Guatemala,F,405
2015-09-01,Guatemala,M,1178
2015-09-01,Honduras,F,295
2015-09-01,Honduras,M,481
2015-09-01,Mexico,F,58
2015-09-01,Mexico,M,75
2015-09-01,Other,F,25
2015-09-01,Other,M,58
2015-10-01,El Salvador,F,618
2015-10-01,El Salvador,M,1068
2015-10-01,Guatemala,F,440
2015-10-01,Guatemala,M,1122
2015-10-01,Honduras,F,334
2015-10-01,Honduras,M,530
2015-10-01,Mexico,F,40
2015-10-01,Mexico,M,66
2015-10-01,Other,F,19
2015-10-01,Other,M,58
2015-11-01,El Salvador,F,604
2015-11-01,El Salvador,M,895
2015-11-01,Guatemala,F,434
2015-11-01,Guatemala,M,1189
2015-11-01,Honduras,F,281
2015-11-01,Honduras,M,434
2015-11-01,Mexico,F,49
2015-11-01,Mexico,M,68
2015-11-01,Other,F,22
2015-11-01,Other,M,62
2015-12-01,El Salvador,F,856
2015-12-01,El Salvador,M,1244
2015-12-01,Guatemala,F,824
2015-12-01,Guatemala,M,1941
2015-12-01,Honduras,F,517
2015-12-01,Honduras,M,744
2015-12-01,Mexico,F,74
2015-12-01,Mexico,M,86
2015-12-01,Other,F,33
2015-12-01,Other,M,85
2016-01-01,El Salvador,F,625
2016-01-01,El Salvador,M,813
2016-01-01,Guatemala,F,620
2016-01-01,Guatemala,M,1739
2016-01-01,Honduras,F,337
2016-01-01,Honduras,M,548
2016-01-01,Mexico,F,56
2016-01-01,Mexico,M,57
2016-01-01,Other,F,36
2016-01-01,Other,M,79
2016-02-01,El Salvador,F,388
2016-02-01,El Salvador,M,664
2016-02-01,Guatemala,F,376
2016-02-01,Guatemala,M,1213
2016-02-01,Honduras,F,201
2016-02-01,Honduras,M,315
2016-02-01,Mexico,F,46
2016-02-01,Mexico,M,52
2016-02-01,Other,F,28
2016-02-01,Other,M,55
2016-03-01,El Salvador,F,406
2016-03-01,El Salvador,M,704
2016-03-01,Guatemala,F,267
2016-03-01,Guatemala,M,1006
2016-03-01,Honduras,F,205
2016-03-01,Honduras,M,367
2016-03-01,Mexico,F,59
2016-03-01,Mexico,M,68
2016-03-01,Other,F,22
2016-03-01,Other,M,87
2016-04-01,El Salvador,F,505
2016-04-01,El Salvador,M,860
2016-04-01,Guatemala,F,283
2016-04-01,Guatemala,M,858
2016-04-01,Honduras,F,210
2016-04-01,Honduras,M,405
2016-04-01,Mexico,F,41
2016-04-01,Mexico,M,56
2016-04-01,Other,F,19
2016-04-01,Other,M,49
2016-05-01,El Salvador,F,663
2016-05-01,El Salvador,M,1067
2016-05-01,Guatemala,F,363
2016-05-01,Guatemala,M,983
2016-05-01,Honduras,F,328
2016-05-01,Honduras,M,536
2016-05-01,Mexico,F,47
2016-05-01,Mexico,M,53
2016-05-01,Other,F,25
2016-05-01,Other,M,64
2016-06-01,El Salvador,F,642
2016-06-01,El Salvador,M,1019
2016-06-01,Guatemala,F,414
2016-06-01,Guatemala,M,1065
2016-06-01,Honduras,F,335
2016-06-01,Honduras,M,594
2016-06-01,Mexico,F,39
2016-06-01,Mexico,M,41
2016-06-01,Other,F,22
2016-06-01,Other,M,79
2016-07-01,El Salvador,F,581
2016-07-01,El Salvador,M,1045
2016-07-01,Guatemala,F,432
2016-07-01,Guatemala,M,1196
2016-07-01,Honduras,F,342
2016-07-01,Honduras,M,644
2016-07-01,Mexico,F,51
2016-07-01,Mexico,M,52
2016-07-01,Other,F,23
2016-07-01,Other,M,74
2016-08-01,El Salvador,F,686
2016-08-01,El Salvador,M,1095
2016-08-01,Guatemala,F,444
2016-08-01,Guatemala,M,1357
2016-08-01,Honduras,F,419
2016-08-01,Honduras,M,717
2016-08-01,Mexico,F,51
2016-08-01,Mexico,M,79
2016-08-01,Other,F,42
2016-08-01,Other,M,70
2016-09-01,El Salvador,F,680
2016-09-01,El Salvador,M,1060
2016-09-01,Guatemala,F,487
2016-09-01,Guatemala,M,1380
2016-09-01,Honduras,F,438
2016-09-01,Honduras,M,815
2016-09-01,Mexico,F,49
2016-09-01,Mexico,M,68
2016-09-01,Other,F,33
2016-09-01,Other,M,77
2016-10-01,El Salvador,F,803
2016-10-01,El Salvador,M,1318
2016-10-01,Guatemala,F,605
2016-10-01,Guatemala,M,1683
2016-10-01,Honduras,F,466
2016-10-01,Honduras,M,883
2016-10-01,Mexico,F,72
2016-10-01,Mexico,M,80
2016-10-01,Other,F,45
2016-10-01,Other,M,84
2016-11-01,El Salvador,F,888
2016-11-01,El Salvador,M,1324
2016-11-01,Guatemala,F,732
2016-11-01,Guatemala,M,1938
2016-11-01,Honduras,F,568
2016-11-01,Honduras,M,954
2016-11-01,Mexico,F,47
2016-11-01,Mexico,M,72
2016-11-01,Other,F,32
2016-11-01,Other,M,81
2016-12-01,El Salvador,F,978
2016-12-01,El Salvador,M,1482
2016-12-01,Guatemala,F,887
2016-12-01,Guatemala,M,2263
2016-12-01,Honduras,F,738
2016-12-01,Honduras,M,1100
2016-12-01,Mexico,F,66
2016-12-01,Mexico,M,91
2016-12-01,Other,F,47
2016-12-01,Other,M,91
2017-01-01,El Salvador,F,778
2017-01-01,El Salvador,M,1261
2017-01-01,Guatemala,F,730
2017-01-01,Guatemala,M,2114
2017-01-01,Honduras,F,500
2017-01-01,Honduras,M,966
2017-01-01,Mexico,F,36
2017-01-01,Mexico,M,70
2017-01-01,Other,F,40
2017-01-01,Other,M,76
2017-02-01,El Salvador,F,569
2017-02-01,El Salvador,M,845
2017-02-01,Guatemala,F,467
2017-02-01,Guatemala,M,1454
2017-02-01,Honduras,F,339
2017-02-01,Honduras,M,665
2017-02-01,Mexico,F,26
2017-02-01,Mexico,M,41
2017-02-01,Other,F,36
2017-02-01,Other,M,73
2017-03-01,El Salvador,F,305
2017-03-01,El Salvador,M,580
2017-03-01,Guatemala,F,256
2017-03-01,Guatemala,M,960
2017-03-01,Honduras,F,241
2017-03-01,Honduras,M,417
2017-03-01,Mexico,F,28
2017-03-01,Mexico,M,34
2017-03-01,Other,F,25
2017-03-01,Other,M,81
2017-04-01,El Salvador,F,97
2017-04-01,El Salvador,M,173
2017-04-01,Guatemala,F,105
2017-04-01,Guatemala,M,334
2017-04-01,Honduras,F,105
2017-04-01,Honduras,M,181
2017-04-01,Mexico,F,10
2017-04-01,Mexico,M,17
2017-04-01,Other,F,17
2017-04-01,Other,M,51
2017-05-01,El Salvador,F,115
2017-05-01,El Salvador,M,143
2017-05-01,Guatemala,F,118
2017-05-01,Guatemala,M,293
2017-05-01,Honduras,F,85
2017-05-01,Honduras,M,140
2017-05-01,Mexico,F,9
2017-05-01,Mexico,M,19
2017-05-01,Other,F,14
2017-05-01,Other,M,41
2017-06-01,El Salvador,F,122
2017-06-01,El Salvador,M,177
2017-06-01,Guatemala,F,150
2017-06-01,Guatemala,M,400
2017-06-01,Honduras,F,107
2017-06-01,Honduras,M,172
2017-06-01,Mexico,F,16
2017-06-01,Mexico,M,32
2017-06-01,Other,F,11
2017-06-01,Other,M,28
2017-07-01,El Salvador,F,111
2017-07-01,El Salvador,M,176
2017-07-01,Guatemala,F,180
2017-07-01,Guatemala,M,497
2017-07-01,Honduras,F,101
2017-07-01,Honduras,M,171
2017-07-01,Mexico,F,9
2017-07-01,Mexico,M,19
2017-07-01,Other,F,8
2017-07-01,Other,M,42
2017-08-01,El Salvador,F,121
2017-08-01,El Salvador,M,177
2017-08-01,Guatemala,F,222
2017-08-01,Guatemala,M,631
2017-08-01,Honduras,F,120
2017-08-01,Honduras,M,221
2017-08-01,Mexico,F,22
2017-08-01,Mexico,M,40
2017-08-01,Other,F,6
2017-08-01,Other,M,40
2017-09-01,El Salvador,F,132
2017-09-01,El Salvador,M,192
2017-09-01,Guatemala,F,275
2017-09-01,Guatemala,M,810
2017-09-01,Honduras,F,131
2017-09-01,Honduras,M,259
2017-09-01,Mexico,F,35
2017-09-01,Mexico,M,36
2017-09-01,Other,F,18
2017-09-01,Other,M,75
2017-10-01,El Salvador,F,127
2017-10-01,El Salvador,M,209
2017-10-01,Guatemala,F,294
2017-10-01,Guatemala,M,961
2017-10-01,Honduras,F,141
2017-10-01,Honduras,M,327
2017-10-01,Mexico,F,29
2017-10-01,Mexico,M,43
2017-10-01,Other,F,17
2017-10-01,Other,M,82
2017-11-01,El Salvador,F,146
2017-11-01,El Salvador,M,214
2017-11-01,Guatemala,F,331
2017-11-01,Guatemala,M,936
2017-11-01,Honduras,F,148
2017-11-01,Honduras,M,312
2017-11-01,Mexico,F,27
2017-11-01,Mexico,M,22
2017-11-01,Other,F,20
2017-11-01,Other,M,85
2017-12-01,El Salvador,F,173
2017-12-01,El Salvador,M,274
2017-12-01,Guatemala,F,494
2017-12-01,Guatemala,M,1390
2017-12-01,Honduras,F,221
2017-12-01,Honduras,M,406
2017-12-01,Mexico,F,46
2017-12-01,Mexico,M,50
2017-12-01,Other,F,18
2017-12-01,Other,M,115
2018-01-01,El Salvador,F,115
2018-01-01,El Salvador,M,199
2018-01-01,Guatemala,F,474
2018-01-01,Guatemala,M,1262
2018-01-01,Honduras,F,168
2018-01-01,Honduras,M,301
2018-01-01,Mexico,F,41
2018-01-01,Mexico,M,41
2018-01-01,Other,F,22
2018-01-01,Other,M,84
2018-02-01,El Salvador,F,112
2018-02-01,El Salvador,M,174
2018-02-01,Guatemala,F,414
2018-02-01,Guatemala,M,1438
2018-02-01,Honduras,F,222
2018-02-01,Honduras,M,365
2018-02-01,Mexico,F,42
2018-02-01,Mexico,M,44
2018-02-01,Other,F,10
2018-02-01,Other,M,99
2018-03-01,El Salvador,F,100
2018-03-01,El Salvador,M,157
2018-03-01,Guatemala,F,479
2018-03-01,Guatemala,M,1516
2018-03-01,Honduras,F,223
2018-03-01,Honduras,M,407
2018-03-01,Mexico,F,52
2018-03-01,Mexico,M,49
2018-03-01,Other,F,12
2018-03-01,Other,M,80
2018-04-01,El Salvador,F,163
2018-04-01,El Salvador,M,221
2018-04-01,Guatemala,F,458
2018-04-01,Guatemala,M,1543
2018-04-01,Honduras,F,287
2018-04-01,Honduras,M,582
2018-04-01,Mexico,F,53
2018-04-01,Mexico,M,67
2018-04-01,Other,F,20
2018-04-01,Other,M,85
2018-05-01,El Salvador,F,168
2018-05-01,El Salvador,M,310
2018-05-01,Guatemala,F,475
2018-05-01,Guatemala,M,1683
2018-05-01,Honduras,F,343
2018-05-01,Honduras,M,686
2018-05-01,Mexico,F,60
2018-05-01,Mexico,M,72
2018-05-01,Other,F,24
2018-05-01,Other,M,99
2018-06-01,El Salvador,F,166
2018-06-01,El Salvador,M,322
2018-06-01,Guatemala,F,485
2018-06-01,Guatemala,M,1533
2018-06-01,Honduras,F,357
2018-06-01,Honduras,M,763
2018-06-01,Mexico,F,35
2018-06-01,Mexico,M,64
2018-06-01,Other,F,21
2018-06-01,Other,M,116
2018-07-01,El Salvador,F,108
2018-07-01,El Salvador,M,189
2018-07-01,Guatemala,F,340
2018-07-01,Guatemala,M,960
2018-07-01,Honduras,F,274
2018-07-01,Honduras,M,501
2018-07-01,Mexico,F,23
2018-07-01,Mexico,M,30
2018-07-01,Other,F,23
2018-07-01,Other,M,97
2018-08-01,El Salvador,F,104
2018-08-01,El Salvador,M,205
2018-08-01,Guatemala,F,245
2018-08-01,Guatemala,M,830
2018-08-01,Honduras,F,220
2018-08-01,Honduras,M,444
2018-08-01,Mexico,F,21
2018-08-01,Mexico,M,35
2018-08-01,Other,F,17
2018-08-01,Other,M,66
2018-09-01,El Salvador,F,159
2018-09-01,El Salvador,M,232
2018-09-01,Guatemala,F,362
2018-09-01,Guatemala,M,984
2018-09-01,Honduras,F,256
2018-09-01,Honduras,M,518
2018-09-01,Mexico,F,31
2018-09-01,Mexico,M,39
2018-09-01,Other,F,24
2018-09-01,Other,M,114
2018-10-01,El Salvador,F,205
2018-10-01,El Salvador,M,326
2018-10-01,Guatemala,F,428
2018-10-01,Guatemala,M,1207
2018-10-01,Honduras,F,338
2018-10-01,Honduras,M,685
2018-10-01,Mexico,F,31
2018-10-01,Mexico,M,66
2018-10-01,Other,F,40
2018-10-01,Other,M,148
2018-11-01,El Salvador,F,206
2018-11-01,El Salvador,M,322
2018-11-01,Guatemala,F,461
2018-11-01,Guatemala,M,1156
2018-11-01,Honduras,F,321
2018-11-01,Honduras,M,686
2018-11-01,Mexico,F,37
2018-11-01,Mexico,M,70
2018-11-01,Other,F,34
2018-11-01,Other,M,117
2018-12-01,El Salvador,F,373
2018-12-01,El Salvador,M,632
2018-12-01,Guatemala,F,841
2018-12-01,Guatemala,M,2085
2018-12-01,Honduras,F,649
2018-12-01,Honduras,M,1063
2018-12-01,Mexico,F,73
2018-12-01,Mexico,M,79
2018-12-01,Other,F,50
2018-12-01,Other,M,185
2019-01-01,El Salvador,F,280
2019-01-01,El Salvador,M,445
2019-01-01,Guatemala,F,800
2019-01-01,Guatemala,M,2321
2019-01-01,Honduras,F,506
2019-01-01,Honduras,M,940
2019-01-01,Mexico,F,42
2019-01-01,Mexico,M,63
2019-01-01,Other,F,43
2019-01-01,Other,M,161
2019-02-01,El Salvador,F,249
2019-02-01,El Salvador,M,413
2019-02-01,Guatemala,F,815
2019-02-01,Guatemala,M,2045
2019-02-01,Honduras,F,508
2019-02-01,Honduras,M,957
2019-02-01,Mexico,F,57
2019-02-01,Mexico,M,45
2019-02-01,Other,F,47
2019-02-01,Other,M,158
2019-03-01,El Salvador,F,386
2019-03-01,El Salvador,M,634
2019-03-01,Guatemala,F,1002
2019-03-01,Guatemala,M,2555
2019-03-01,Honduras,F,683
2019-03-01,Honduras,M,1295
2019-03-01,Mexico,F,50
