month,country_group,gender,n
2019-03-01,Mexico,M,62
2019-03-01,Other,F,70
2019-03-01,Other,M,172
2019-04-01,El Salvador,F,524
2019-04-01,El Salvador,M,773
2019-04-01,Guatemala,F,1089
2019-04-01,Guatemala,M,2695
2019-04-01,Honduras,F,852
2019-04-01,Honduras,M,1448
2019-04-01,Mexico,F,35
2019-04-01,Mexico,M,55
2019-04-01,Other,F,99
2019-04-01,Other,M,199
2019-05-01,El Salvador,F,643
2019-05-01,El Salvador,M,962
2019-05-01,Guatemala,F,1092
2019-05-01,Guatemala,M,2538
2019-05-01,Honduras,F,856
2019-05-01,Honduras,M,1628
2019-05-01,Mexico,F,42
2019-05-01,Mexico,M,48
2019-05-01,Other,F,124
2019-05-01,Other,M,190
2019-06-01,El Salvador,F,697
2019-06-01,El Salvador,M,1126
2019-06-01,Guatemala,F,1109
2019-06-01,Guatemala,M,2838
2019-06-01,Honduras,F,884
2019-06-01,Honduras,M,1662
2019-06-01,Mexico,F,39
2019-06-01,Mexico,M,67
2019-06-01,Other,F,117
2019-06-01,Other,M,210
2019-07-01,El Salvador,F,740
2019-07-01,El Salvador,M,1156
2019-07-01,Guatemala,F,1053
2019-07-01,Guatemala,M,2390
2019-07-01,Honduras,F,947
2019-07-01,Honduras,M,1684
2019-07-01,Mexico,F,46
2019-07-01,Mexico,M,56
2019-07-01,Other,F,151
2019-07-01,Other,M,263
2019-08-01,El Salvador,F,476
2019-08-01,El Salvador,M,765
2019-08-01,Guatemala,F,602
2019-08-01,Guatemala,M,1359
2019-08-01,Honduras,F,713
2019-08-01,Honduras,M,1202
2019-08-01,Mexico,F,62
2019-08-01,Mexico,M,75
2019-08-01,Other,F,163
2019-08-01,Other,M,247
2019-09-01,El Salvador,F,289
2019-09-01,El Salvador,M,425
2019-09-01,Guatemala,F,409
2019-09-01,Guatemala,M,828
2019-09-01,Honduras,F,435
2019-09-01,Honduras,M,721
2019-09-01,Mexico,F,57
2019-09-01,Mexico,M,64
2019-09-01,Other,F,110
2019-09-01,Other,M,203
2019-10-01,El Salvador,F,193
2019-10-01,El Salvador,M,293
2019-10-01,Guatemala,F,278
2019-10-01,Guatemala,M,666
2019-10-01,Honduras,F,318
2019-10-01,Honduras,M,553
2019-10-01,Mexico,F,61
2019-10-01,Mexico,M,87
2019-10-01,Other,F,121
2019-10-01,Other,M,232
2019-11-01,El Salvador,F,140
2019-11-01,El Salvador,M,217
2019-11-01,Guatemala,F,292
2019-11-01,Guatemala,M,716
2019-11-01,Honduras,F,247
2019-11-01,Honduras,M,423
2019-11-01,Mexico,F,38
2019-11-01,Mexico,M,63
2019-11-01,Other,F,57
2019-11-01,Other,M,149
2019-12-01,El Salvador,F,135
2019-12-01,El Salvador,M,204
2019-12-01,Guatemala,F,328
2019-12-01,Guatemala,M,882
2019-12-01,Honduras,F,217
2019-12-01,Honduras,M,393
2019-12-01,Mexico,F,48
2019-12-01,Mexico,M,72
2019-12-01,Other,F,65
2019-12-01,Other,M,139
2020-01-01,El Salvador,F,108
2020-01-01,El Salvador,M,146
2020-01-01,Guatemala,F,274
2020-01-01,Guatemala,M,771
2020-01-01,Honduras,F,181
2020-01-01,Honduras,M,333
2020-01-01,Mexico,F,50
2020-01-01,Mexico,M,76
2020-01-01,Other,F,58
2020-01-01,Other,M,118
2020-02-01,El Salvador,F,126
2020-02-01,El Salvador,M,170
2020-02-01,Guatemala,F,287
2020-02-01,Guatemala,M,845
2020-02-01,Honduras,F,160
2020-02-01,Honduras,M,276
2020-02-01,Mexico,F,44
2020-02-01,Mexico,M,72
2020-02-01,Other,F,51
2020-02-01,Other,M,102
2020-03-01,El Salvador,F,110
2020-03-01,El Salvador,M,170
2020-03-01,Guatemala,F,279
2020-03-01,Guatemala,M,810
2020-03-01,Honduras,F,181
2020-03-01,Honduras,M,334
2020-03-01,Mexico,F,35
2020-03-01,Mexico,M,71
2020-03-01,Other,F,55
2020-03-01,Other,M,103
2020-04-01,El Salvador,F,66
2020-04-01,El Salvador,M,126
2020-04-01,Guatemala,F,154
2020-04-01,Guatemala,M,478
2020-04-01,Honduras,F,106
2020-04-01,Honduras,M,198
2020-04-01,Mexico,F,24
2020-04-01,Mexico,M,49
2020-04-01,Other,F,31
2020-04-01,Other,M,72
2020-05-01,El Salvador,F,31
2020-05-01,El Salvador,M,35
2020-05-01,Guatemala,F,55
2020-05-01,Guatemala,M,169
2020-05-01,Honduras,F,51
2020-05-01,Honduras,M,83
2020-05-01,Mexico,F,13
2020-05-01,Mexico,M,18
2020-05-01,Other,F,17
2020-05-01,Other,M,50
2020-06-01,El Salvador,F,14
2020-06-01,El Salvador,M,17
2020-06-01,Guatemala,F,24
2020-06-01,Guatemala,M,63
2020-06-01,Honduras,F,25
2020-06-01,Honduras,M,43
2020-06-01,Mexico,F,6
2020-06-01,Mexico,M,7
2020-06-01,Other,F,11
2020-06-01,Other,M,31
2020-07-01,El Salvador,F,5
2020-07-01,El Salvador,M,6
2020-07-01,Guatemala,F,12
2020-07-01,Guatemala,M,52
2020-07-01,Honduras,F,26
2020-07-01,Honduras,M,29
2020-07-01,Mexico,F,2
2020-07-01,Mexico,M,8
2020-07-01,Other,F,13
2020-07-01,Other,M,19
2020-08-01,El Salvador,F,16
2020-08-01,El Salvador,M,12
2020-08-01,Guatemala,F,15
2020-08-01,Guatemala,M,46
2020-08-01,Honduras,F,32
2020-08-01,Honduras,M,33
2020-08-01,Mexico,F,7
2020-08-01,Mexico,M,3
2020-08-01,Other,F,13
2020-08-01,Other,M,8
2020-09-01,El Salvador,F,27
2020-09-01,El Salvador,M,36
2020-09-01,Guatemala,F,36
2020-09-01,Guatemala,M,103
2020-09-01,Honduras,F,57
2020-09-01,Honduras,M,89
2020-09-01,Mexico,F,7
2020-09-01,Mexico,M,11
2020-09-01,Other,F,23
2020-09-01,Other,M,29
2020-10-01,El Salvador,F,58
2020-10-01,El Salvador,M,101
2020-10-01,Guatemala,F,124
2020-10-01,Guatemala,M,332
2020-10-01,Honduras,F,132
2020-10-01,Honduras,M,203
2020-10-01,Mexico,F,11
2020-10-01,Mexico,M,14
2020-10-01,Other,F,37
2020-10-01,Other,M,50
2020-11-01,El Salvador,F,74
2020-11-01,El Salvador,M,97
2020-11-01,Guatemala,F,119
2020-11-01,Guatemala,M,384
2020-11-01,Honduras,F,155
2020-11-01,Honduras,M,268
2020-11-01,Mexico,F,6
2020-11-01,Mexico,M,15
2020-11-01,Other,F,44
2020-11-01,Other,M,64
2020-12-01,El Salvador,F,126
2020-12-01,El Salvador,M,187
2020-12-01,Guatemala,F,307
2020-12-01,Guatemala,M,718
2020-12-01,Honduras,F,240
2020-12-01,Honduras,M,437
2020-12-01,Mexico,F,17
2020-12-01,Mexico,M,27
2020-12-01,Other,F,92
2020-12-01,Other,M,148
2021-01-01,El Salvador,F,106
2021-01-01,El Salvador,M,180
2021-01-01,Guatemala,F,321
2021-01-01,Guatemala,M,966
2021-01-01,Honduras,F,285
2021-01-01,Honduras,M,505
2021-01-01,Mexico,F,15
2021-01-01,Mexico,M,32
2021-01-01,Other,F,80
2021-01-01,Other,M,146
2021-02-01,El Salvador,F,152
2021-02-01,El Salvador,M,219
2021-02-01,Guatemala,F,432
2021-02-01,Guatemala,M,1212
2021-02-01,Honduras,F,358
2021-02-01,Honduras,M,681
2021-02-01,Mexico,F,23
2021-02-01,Mexico,M,40
2021-02-01,Other,F,117
2021-02-01,Other,M,169
2021-03-01,El Salvador,F,250
2021-03-01,El Salvador,M,465
2021-03-01,Guatemala,F,877
2021-03-01,Guatemala,M,2361
2021-03-01,Honduras,F,788
2021-03-01,Honduras,M,1419
2021-03-01,Mexico,F,32
2021-03-01,Mexico,M,56
2021-03-01,Other,F,135
2021-03-01,Other,M,182
2021-04-01,El Salvador,F,434
2021-04-01,El Salvador,M,680
2021-04-01,Guatemala,F,1317
2021-04-01,Guatemala,M,3429
2021-04-01,Honduras,F,1408
2021-04-01,Honduras,M,2477
2021-04-01,Mexico,F,47
2021-04-01,Mexico,M,80
2021-04-01,Other,F,179
2021-04-01,Other,M,266
2021-05-01,El Salvador,F,849
2021-05-01,El Salvador,M,1371
2021-05-01,Guatemala,F,2253
2021-05-01,Guatemala,M,5490
2021-05-01,Honduras,F,2233
2021-05-01,Honduras,M,3731
2021-05-01,Mexico,F,84
2021-05-01,Mexico,M,80
2021-05-01,Other,F,364
2021-05-01,Other,M,508
2021-06-01,El Salvador,F,776
2021-06-01,El Salvador,M,1300
2021-06-01,Guatemala,F,1902
2021-06-01,Guatemala,M,5123
2021-06-01,Honduras,F,1690
2021-06-01,Honduras,M,3081
2021-06-01,Mexico,F,81
2021-06-01,Mexico,M,95
2021-06-01,Other,F,303
2021-06-01,Other,M,554
2021-07-01,El Salvador,F,793
2021-07-01,El Salvador,M,1285
2021-07-01,Guatemala,F,2167
2021-07-01,Guatemala,M,5395
2021-07-01,Honduras,F,1895
2021-07-01,Honduras,M,3275
2021-07-01,Mexico,F,84
2021-07-01,Mexico,M,124
2021-07-01,Other,F,374
2021-07-01,Other,M,565
2021-08-01,El Salvador,F,892
2021-08-01,El Salvador,M,1290
2021-08-01,Guatemala,F,2555
2021-08-01,Guatemala,M,5590
2021-08-01,Honduras,F,2154
2021-08-01,Honduras,M,3457
2021-08-01,Mexico,F,110
2021-08-01,Mexico,M,126
2021-08-01,Other,F,444
2021-08-01,Other,M,689
2021-09-01,El Salvador,F,855
2021-09-01,El Salvador,M,1207
2021-09-01,Guatemala,F,2229
2021-09-01,Guatemala,M,4956
2021-09-01,Honduras,F,1835
2021-09-01,Honduras,M,2898
2021-09-01,Mexico,F,89
2021-09-01,Mexico,M,134
2021-09-01,Other,F,552
2021-09-01,Other,M,956
2021-10-01,El Salvador,F,686
2021-10-01,El Salvador,M,1054
2021-10-01,Guatemala,F,1674
2021-10-01,Guatemala,M,3861
2021-10-01,Honduras,F,1387
2021-10-01,Honduras,M,2218
2021-10-01,Mexico,F,81
2021-10-01,Mexico,M,113
2021-10-01,Other,F,325
2021-10-01,Other,M,665
2021-11-01,El Salvador,F,636
2021-11-01,El Salvador,M,870
2021-11-01,Guatemala,F,1489
2021-11-01,Guatemala,M,3379
2021-11-01,Honduras,F,1129
2021-11-01,Honduras,M,1749
2021-11-01,Mexico,F,82
2021-11-01,Mexico,M,111
2021-11-01,Other,F,224
2021-11-01,Other,M,346
2021-12-01,El Salvador,F,773
2021-12-01,El Salvador,M,1121
2021-12-01,Guatemala,F,2110
2021-12-01,Guatemala,M,4419
2021-12-01,Honduras,F,1461
2021-12-01,Honduras,M,2154
2021-12-01,Mexico,F,116
2021-12-01,Mexico,M,129
2021-12-01,Other,F,304
2021-12-01,Other,M,471
2022-01-01,El Salvador,F,398
2022-01-01,El Salvador,M,563
2022-01-01,Guatemala,F,1212
2022-01-01,Guatemala,M,2707
2022-01-01,Honduras,F,770
2022-01-01,Honduras,M,1098
2022-01-01,Mexico,F,67
2022-01-01,Mexico,M,102
2022-01-01,Other,F,244
2022-01-01,Other,M,391
2022-02-01,El Salvador,F,479
2022-02-01,El Salvador,M,719
2022-02-01,Guatemala,F,1395
2022-02-01,Guatemala,M,2724
2022-02-01,Honduras,F,971
2022-02-01,Honduras,M,1444
2022-02-01,Mexico,F,80
2022-02-01,Mexico,M,85
2022-02-01,Other,F,263
2022-02-01,Other,M,363
2022-03-01,El Salvador,F,502
2022-03-01,El Salvador,M,771
2022-03-01,Guatemala,F,1648
2022-03-01,Guatemala,M,3610
2022-03-01,Honduras,F,1194
2022-03-01,Honduras,M,1886
2022-03-01,Mexico,F,106
2022-03-01,Mexico,M,139
2022-03-01,Other,F,250
2022-03-01,Other,M,460
2022-04-01,El Salvador,F,583
2022-04-01,El Salvador,M,957
2022-04-01,Guatemala,F,1686
2022-04-01,Guatemala,M,3801
2022-04-01,Honduras,F,1162
2022-04-01,Honduras,M,2111
2022-04-01,Mexico,F,126
2022-04-01,Mexico,M,162
2022-04-01,Other,F,326
2022-04-01,Other,M,501
2022-05-01,El Salvador,F,511
2022-05-01,El Salvador,M,806
2022-05-01,Guatemala,F,1597
2022-05-01,Guatemala,M,3351
2022-05-01,Honduras,F,1089
2022-05-01,Honduras,M,1810
2022-05-01,Mexico,F,109
2022-05-01,Mexico,M,143
2022-05-01,Other,F,354
2022-05-01,Other,M,505
2022-06-01,El Salvador,F,567
2022-06-01,El Salvador,M,917
2022-06-01,Guatemala,F,1799
2022-06-01,Guatemala,M,3576
2022-06-01,Honduras,F,1417
2022-06-01,Honduras,M,2167
2022-06-01,Mexico,F,160
2022-06-01,Mexico,M,167
2022-06-01,Other,F,364
2022-06-01,Other,M,495
2022-07-01,El Salvador,F,576
2022-07-01,El Salvador,M,980
2022-07-01,Guatemala,F,1988
2022-07-01,Guatemala,M,4195
2022-07-01,Honduras,F,1590
2022-07-01,Honduras,M,2724
2022-07-01,Mexico,F,128
2022-07-01,Mexico,M,188
2022-07-01,Other,F,325
2022-07-01,Other,M,527
2022-08-01,El Salvador,F,531
2022-08-01,El Salvador,M,777
2022-08-01,Guatemala,F,1636
2022-08-01,Guatemala,M,3252
2022-08-01,Honduras,F,1221
2022-08-01,Honduras,M,2137
2022-08-01,Mexico,F,160
2022-08-01,Mexico,M,178
2022-08-01,Other,F,356
2022-08-01,Other,M,528
2022-09-01,El Salvador,F,426
2022-09-01,El Salvador,M,610
2022-09-01,Guatemala,F,1362
2022-09-01,Guatemala,M,2634
2022-09-01,Honduras,F,1024
2022-09-01,Honduras,M,1612
2022-09-01,Mexico,F,166
2022-09-01,Mexico,M,198
2022-09-01,Other,F,392
2022-09-01,Other,M,580
2022-10-01,El Salvador,F,484
2022-10-01,El Salvador,M,675
2022-10-01,Guatemala,F,1501
2022-10-01,Guatemala,M,2823
2022-10-01,Honduras,F,1004
2022-10-01,Honduras,M,1702
2022-10-01,Mexico,F,171
2022-10-01,Mexico,M,248
2022-10-01,Other,F,502
2022-10-01,Other,M,711
2022-11-01,El Salvador,F,432
2022-11-01,El Salvador,M,625
2022-11-01,Guatemala,F,1466
2022-11-01,Guatemala,M,2881
2022-11-01,Honduras,F,1033
2022-11-01,Honduras,M,1636
2022-11-01,Mexico,F,200
2022-11-01,Mexico,M,250
2022-11-01,Other,F,601
2022-11-01,Other,M,797
2022-12-01,El Salvador,F,559
2022-12-01,El Salvador,M,625
2022-12-01,Guatemala,F,1976
2022-12-01,Guatemala,M,3477
2022-12-01,Honduras,F,1188
2022-12-01,Honduras,M,1872
2022-12-01,Mexico,F,239
2022-12-01,Mexico,M,262
2022-12-01,Other,F,811
2022-12-01,Other,M,1054
2023-01-01,El Salvador,F,285
2023-01-01,El Salvador,M,404
2023-01-01,Guatemala,F,1328
2023-01-01,Guatemala,M,2556
2023-01-01,Honduras,F,929
2023-01-01,Honduras,M,1360
2023-01-01,Mexico,F,184
2023-01-01,Mexico,M,227
2023-01-01,Other,F,721
2023-01-01,Other,M,908
2023-02-01,El Salvador,F,312
2023-02-01,El Salvador,M,500
2023-02-01,Guatemala,F,1358
2023-02-01,Guatemala,M,2597
2023-02-01,Honduras,F,933
2023-02-01,Honduras,M,1424
2023-02-01,Mexico,F,234
2023-02-01,Mexico,M,312
2023-02-01,Other,F,357
2023-02-01,Other,M,457
2023-03-01,El Salvador,F,394
2023-03-01,El Salvador,M,507
2023-03-01,Guatemala,F,1438
2023-03-01,Guatemala,M,2813
2023-03-01,Honduras,F,1094
2023-03-01,Honduras,M,1730
2023-03-01,Mexico,F,277
2023-03-01,Mexico,M,379
2023-03-01,Other,F,372
2023-03-01,Other,M,535
2023-04-01,El Salvador,F,358
2023-04-01,El Salvador,M,531
2023-04-01,Guatemala,F,1271
2023-04-01,Guatemala,M,2549
2023-04-01,Honduras,F,1078
2023-04-01,Honduras,M,1621
2023-04-01,Mexico,F,266
2023-04-01,Mexico,M,374
2023-04-01,Other,F,323
2023-04-01,Other,M,600
2023-05-01,El Salvador,F,343
2023-05-01,El Salvador,M,499
2023-05-01,Guatemala,F,1172
2023-05-01,Guatemala,M,2129
2023-05-01,Honduras,F,961
2023-05-01,Honduras,M,1548
2023-05-01,Mexico,F,266
2023-05-01,Mexico,M,383
2023-05-01,Other,F,463
2023-05-01,Other,M,694
